,Celltype1,Celltype2,Celltype3,Celltype4,Celltype5,Celltype6,Celltype7,Celltype8,Celltype9,Celltype10
hsa04976,0.146319625709355,0.168290775933699,8.86376732362222e-19,0.234007663297872,0.172989794292755,0.398105360557969,0.789086122956317,0.0630558008385186,0.166926624761024,0.224024792549019
hsa04978,0.188498310991648,0.226461124086633,0.943219012441158,0.853215315752127,0.500531405742487,0.398105360557969,0.833360572300641,0.559593127467659,0.360201919095903,0.300708662312968
hsa05012,0.960818431712915,0.384544524358558,1,1.03872337981489e-09,3.44664462260844e-06,0.0539418928123784,2.48551698326938e-12,0.954931390786944,0.999999999999989,0.344402014915742
hsa05017,0.0163331160206489,3.86879110445755e-05,0.0312588394928887,0.722453709792327,5.62271382119966e-06,0.0671839155402246,0.57636378617383,0.229386504421196,0.00304597445211463,0.140725924509932
hsa05020,1,1,1,1,1,0.999905771146803,0.999999999999993,0.999999999995336,1,0.999999975849482
hsa05031,1.10652743729486e-12,1.09267497201338e-12,4.32883247032973e-74,7.13305061398434e-31,1.49879701017635e-25,0.00495923784794571,1.61268785956298e-15,4.00630979703743e-09,2.47684290820946e-12,2.50785830002707e-10
hsa05032,0.339745844339085,0.592079004546785,0.931185713304878,0.999999546559934,0.98365709012208,0.375808840407787,0.999921780892504,0.847465683956082,0.448663290433977,0.46531168389089
hsa05034,2.53456511286191e-08,6.62748888157972e-11,2.02034726799878e-90,1.22276281377176e-30,3.71176215367406e-21,0.0041355880666041,5.28809747277863e-13,1.92618423659501e-09,0.00796964413684374,5.13478398243789e-08
hsa05100,0.999999546213289,0.999994625809881,0.999999108892575,1,0.999999999999958,0.995259333385647,0.999999996763414,0.973756065349355,0.999579610308021,0.994760074342446
hsa05120,0.999579902297694,0.919143643680468,0.999999999998968,0.999999984619754,0.999999998064364,0.998579727014836,0.998142852136144,0.979507861680337,0.983630524989601,0.990876935262362
hsa05130,1,1,1,1,1,0.99961467974027,0.999999999886744,0.999983219916888,0.999999796332444,0.9999966581283
hsa05131,1,1,1,1,1,0.999667853197175,0.999999999999814,0.999999793215086,0.999999850356024,0.999999506085591
hsa05132,0.999995280424388,0.999999999508228,0.99873820651549,1,1,0.991357741577347,0.999999986282942,0.998428503764429,0.999971817306363,0.950060936476829
hsa05133,0.999997116957082,0.999999954267758,1,1,1,0.981485823205048,1,0.999999999362786,0.999996245024541,0.999999998949291
